base_paper_id,variant_type,original_decision,variant_decision,changed
07xuZw59uB,no_abstract,Reject,Reject,False
07xuZw59uB,no_introduction,Reject,Reject,False
07xuZw59uB,no_conclusion,Reject,Reject,False
07xuZw59uB,no_experiments,Reject,Reject,False
07xuZw59uB,no_methods,Reject,Reject,False
1JbsdayvhO,no_abstract,Reject,Accept,True
1JbsdayvhO,no_introduction,Reject,Accept,True
1JbsdayvhO,no_conclusion,Reject,Accept,True
1JbsdayvhO,no_experiments,Reject,Reject,False
1JbsdayvhO,no_methods,Reject,Reject,False
3rmpixOjPS,no_abstract,Reject,Reject,False
3rmpixOjPS,no_introduction,Reject,Accept,True
3rmpixOjPS,no_conclusion,Reject,Reject,False
3rmpixOjPS,no_experiments,Reject,Reject,False
3rmpixOjPS,no_methods,Reject,Reject,False
468KWV14ll,no_abstract,Reject,Accept,True
468KWV14ll,no_introduction,Reject,Reject,False
468KWV14ll,no_conclusion,Reject,Reject,False
468KWV14ll,no_experiments,Reject,Reject,False
468KWV14ll,no_methods,Reject,Reject,False
4JtwtT4nYC,no_abstract,Reject,Accept,True
4JtwtT4nYC,no_introduction,Reject,Reject,False
4JtwtT4nYC,no_conclusion,Reject,Accept,True
4JtwtT4nYC,no_experiments,Reject,Reject,False
4JtwtT4nYC,no_methods,Reject,Reject,False
4UP387Adir,no_abstract,Reject,Reject,False
4UP387Adir,no_introduction,Reject,Reject,False
4UP387Adir,no_conclusion,Reject,Reject,False
4UP387Adir,no_experiments,Reject,Reject,False
4UP387Adir,no_methods,Reject,Reject,False
59nCKifDtm,no_abstract,Reject,Reject,False
59nCKifDtm,no_introduction,Reject,Reject,False
59nCKifDtm,no_conclusion,Reject,Accept,True
59nCKifDtm,no_experiments,Reject,Reject,False
59nCKifDtm,no_methods,Reject,Reject,False
5xadJmgwix,no_abstract,Reject,Reject,False
5xadJmgwix,no_introduction,Reject,Reject,False
5xadJmgwix,no_conclusion,Reject,Reject,False
5xadJmgwix,no_experiments,Reject,Reject,False
5xadJmgwix,no_methods,Reject,Reject,False
760br3YEtY,no_abstract,Reject,Reject,False
760br3YEtY,no_introduction,Reject,Reject,False
760br3YEtY,no_conclusion,Reject,Reject,False
760br3YEtY,no_experiments,Reject,Reject,False
760br3YEtY,no_methods,Reject,Reject,False
7VVGO0kuuY,no_abstract,Reject,Reject,False
7VVGO0kuuY,no_introduction,Reject,Accept,True
7VVGO0kuuY,no_conclusion,Reject,Reject,False
7VVGO0kuuY,no_experiments,Reject,Reject,False
7VVGO0kuuY,no_methods,Reject,Reject,False
7duh4Ml5rc,no_abstract,Reject,Reject,False
7duh4Ml5rc,no_introduction,Reject,Reject,False
7duh4Ml5rc,no_conclusion,Reject,Reject,False
7duh4Ml5rc,no_experiments,Reject,Reject,False
7duh4Ml5rc,no_methods,Reject,Reject,False
9FXGX00iMF,no_abstract,Reject,Reject,False
9FXGX00iMF,no_introduction,Reject,Reject,False
9FXGX00iMF,no_conclusion,Reject,Reject,False
9FXGX00iMF,no_experiments,Reject,Reject,False
9FXGX00iMF,no_methods,Reject,Reject,False
9WD9KwssyT,no_abstract,Reject,Reject,False
9WD9KwssyT,no_introduction,Reject,Reject,False
9WD9KwssyT,no_conclusion,Reject,Reject,False
9WD9KwssyT,no_experiments,Reject,Reject,False
9WD9KwssyT,no_methods,Reject,Reject,False
9Wy6pLNQcG,no_abstract,Reject,Reject,False
9Wy6pLNQcG,no_introduction,Reject,Reject,False
9Wy6pLNQcG,no_conclusion,Reject,Reject,False
9Wy6pLNQcG,no_experiments,Reject,Reject,False
9Wy6pLNQcG,no_methods,Reject,Reject,False
9g8h5HwZMy,no_abstract,Reject,Reject,False
9g8h5HwZMy,no_introduction,Reject,Reject,False
9g8h5HwZMy,no_conclusion,Reject,Reject,False
9g8h5HwZMy,no_experiments,Reject,Reject,False
9g8h5HwZMy,no_methods,Reject,Reject,False
9w3iw8wDuE,no_abstract,Reject,Accept,True
9w3iw8wDuE,no_introduction,Reject,Accept,True
9w3iw8wDuE,no_conclusion,Reject,Reject,False
9w3iw8wDuE,no_experiments,Reject,Reject,False
9w3iw8wDuE,no_methods,Reject,Reject,False
BI1N3lTWtn,no_abstract,Reject,Reject,False
BI1N3lTWtn,no_introduction,Reject,Reject,False
BI1N3lTWtn,no_conclusion,Reject,Reject,False
BI1N3lTWtn,no_experiments,Reject,Reject,False
BI1N3lTWtn,no_methods,Reject,Reject,False
BkRD6GsswM,no_abstract,Reject,Reject,False
BkRD6GsswM,no_introduction,Reject,Reject,False
BkRD6GsswM,no_conclusion,Reject,Reject,False
BkRD6GsswM,no_experiments,Reject,Reject,False
BkRD6GsswM,no_methods,Reject,Reject,False
CIj1CVbkpr,no_abstract,Reject,Reject,False
CIj1CVbkpr,no_introduction,Reject,Reject,False
CIj1CVbkpr,no_conclusion,Reject,Reject,False
CIj1CVbkpr,no_experiments,Reject,Reject,False
CIj1CVbkpr,no_methods,Reject,Reject,False
Cc0qk6r4Nd,no_abstract,Reject,Accept,True
Cc0qk6r4Nd,no_introduction,Reject,Reject,False
Cc0qk6r4Nd,no_conclusion,Reject,Reject,False
Cc0qk6r4Nd,no_experiments,Reject,Reject,False
Cc0qk6r4Nd,no_methods,Reject,Accept,True
CpgoO6j6W1,no_abstract,Reject,Reject,False
CpgoO6j6W1,no_introduction,Reject,Reject,False
CpgoO6j6W1,no_conclusion,Reject,Reject,False
CpgoO6j6W1,no_experiments,Reject,Reject,False
CpgoO6j6W1,no_methods,Reject,Accept,True
DwcV654WBP,no_abstract,Reject,Reject,False
DwcV654WBP,no_introduction,Reject,Accept,True
DwcV654WBP,no_conclusion,Reject,Reject,False
DwcV654WBP,no_experiments,Reject,Reject,False
DwcV654WBP,no_methods,Reject,Reject,False
E296x0YpML,no_abstract,Reject,Reject,False
E296x0YpML,no_introduction,Reject,Reject,False
E296x0YpML,no_conclusion,Reject,Reject,False
E296x0YpML,no_experiments,Reject,Reject,False
E296x0YpML,no_methods,Reject,Reject,False
FKg1N2fAFG,no_abstract,Reject,Reject,False
FKg1N2fAFG,no_introduction,Reject,Reject,False
FKg1N2fAFG,no_conclusion,Reject,Accept,True
FKg1N2fAFG,no_experiments,Reject,Accept,True
FKg1N2fAFG,no_methods,Reject,Reject,False
FRCHDhbxZF,no_abstract,Reject,Accept,True
FRCHDhbxZF,no_introduction,Reject,Reject,False
FRCHDhbxZF,no_conclusion,Reject,Reject,False
FRCHDhbxZF,no_experiments,Reject,Accept,True
FRCHDhbxZF,no_methods,Reject,Accept,True
FbuyDzZTPt,no_abstract,Accept,Reject,True
FbuyDzZTPt,no_introduction,Accept,Reject,True
FbuyDzZTPt,no_conclusion,Accept,Reject,True
FbuyDzZTPt,no_experiments,Accept,Reject,True
FbuyDzZTPt,no_methods,Accept,Accept,False
G3LOFL4jGp,no_abstract,Reject,Reject,False
G3LOFL4jGp,no_introduction,Reject,Reject,False
G3LOFL4jGp,no_experiments,Reject,Reject,False
G3LOFL4jGp,no_methods,Reject,Reject,False
G3LOFL4jGp,no_conclusion,Reject,Reject,False
GSBHKiw19c,no_abstract,Accept,Reject,True
GSBHKiw19c,no_introduction,Accept,Reject,True
GSBHKiw19c,no_experiments,Accept,Accept,False
GSBHKiw19c,no_methods,Accept,Reject,True
GSBHKiw19c,no_conclusion,Accept,Accept,False
Gg7cXo3S8l,no_abstract,Accept,Reject,True
Gg7cXo3S8l,no_introduction,Accept,Reject,True
Gg7cXo3S8l,no_conclusion,Accept,Reject,True
Gg7cXo3S8l,no_experiments,Accept,Reject,True
Gg7cXo3S8l,no_methods,Accept,Reject,True
Gk75gOjtQh,no_abstract,Reject,Reject,False
Gk75gOjtQh,no_introduction,Reject,Reject,False
Gk75gOjtQh,no_conclusion,Reject,Reject,False
Gk75gOjtQh,no_experiments,Reject,Reject,False
Gk75gOjtQh,no_methods,Reject,Reject,False
HCCkCjClO0,no_abstract,Reject,Reject,False
HCCkCjClO0,no_introduction,Reject,Reject,False
HCCkCjClO0,no_conclusion,Reject,Reject,False
HCCkCjClO0,no_experiments,Reject,Reject,False
HCCkCjClO0,no_methods,Reject,Reject,False
HKGQDDTuvZ,no_abstract,Reject,Reject,False
HKGQDDTuvZ,no_introduction,Reject,Accept,True
HKGQDDTuvZ,no_conclusion,Reject,Reject,False
HKGQDDTuvZ,no_experiments,Reject,Reject,False
HKGQDDTuvZ,no_methods,Reject,Reject,False
Hk7yW3vmSq,no_abstract,Reject,Accept,True
Hk7yW3vmSq,no_introduction,Reject,Reject,False
Hk7yW3vmSq,no_conclusion,Reject,Reject,False
Hk7yW3vmSq,no_experiments,Reject,Reject,False
Hk7yW3vmSq,no_methods,Reject,Reject,False
JlSyXwCEIQ,no_abstract,Reject,Reject,False
JlSyXwCEIQ,no_introduction,Reject,Reject,False
JlSyXwCEIQ,no_conclusion,Reject,Reject,False
JlSyXwCEIQ,no_experiments,Reject,Reject,False
JlSyXwCEIQ,no_methods,Reject,Accept,True
KksPo0zXId,no_abstract,Reject,Reject,False
KksPo0zXId,no_introduction,Reject,Accept,True
KksPo0zXId,no_conclusion,Reject,Reject,False
KksPo0zXId,no_experiments,Reject,Accept,True
KksPo0zXId,no_methods,Reject,Reject,False
Koh0i2u8qX,no_abstract,Reject,Reject,False
Koh0i2u8qX,no_conclusion,Reject,Reject,False
Koh0i2u8qX,no_experiments,Reject,Reject,False
Koh0i2u8qX,no_methods,Reject,Reject,False
Koh0i2u8qX,no_introduction,Reject,Reject,False
KzMMv0OygD,no_abstract,Reject,Accept,True
KzMMv0OygD,no_introduction,Reject,Reject,False
KzMMv0OygD,no_conclusion,Reject,Reject,False
KzMMv0OygD,no_experiments,Reject,Reject,False
KzMMv0OygD,no_methods,Reject,Reject,False
L6crLU7MIE,no_abstract,Reject,Reject,False
L6crLU7MIE,no_introduction,Reject,Reject,False
L6crLU7MIE,no_conclusion,Reject,Reject,False
L6crLU7MIE,no_experiments,Reject,Reject,False
L6crLU7MIE,no_methods,Reject,Reject,False
LWwYyxF3w9,no_introduction,Reject,Reject,False
LWwYyxF3w9,no_conclusion,Reject,Reject,False
LWwYyxF3w9,no_experiments,Reject,Reject,False
LWwYyxF3w9,no_methods,Reject,Reject,False
LWwYyxF3w9,no_abstract,Reject,Reject,False
M8J0b9gNfG,no_abstract,Reject,Reject,False
M8J0b9gNfG,no_introduction,Reject,Accept,True
M8J0b9gNfG,no_conclusion,Reject,Reject,False
M8J0b9gNfG,no_experiments,Reject,Reject,False
M8J0b9gNfG,no_methods,Reject,Reject,False
Mqukp3Lsnt,no_abstract,Reject,Reject,False
Mqukp3Lsnt,no_introduction,Reject,Reject,False
Mqukp3Lsnt,no_conclusion,Reject,Reject,False
Mqukp3Lsnt,no_experiments,Reject,Reject,False
Mqukp3Lsnt,no_methods,Reject,Reject,False
N0isTh3rml,no_introduction,Reject,Reject,False
N0isTh3rml,no_conclusion,Reject,Reject,False
N0isTh3rml,no_experiments,Reject,Reject,False
N0isTh3rml,no_methods,Reject,Reject,False
N0isTh3rml,no_abstract,Reject,Reject,False
NSVtmmzeRB,no_abstract,Reject,Reject,False
NSVtmmzeRB,no_introduction,Reject,Reject,False
NSVtmmzeRB,no_conclusion,Reject,Reject,False
NSVtmmzeRB,no_experiments,Reject,Accept,True
NSVtmmzeRB,no_methods,Reject,Accept,True
OJoMzslBIa,no_abstract,Reject,Reject,False
OJoMzslBIa,no_introduction,Reject,Reject,False
OJoMzslBIa,no_conclusion,Reject,Reject,False
OJoMzslBIa,no_experiments,Reject,Reject,False
OJoMzslBIa,no_methods,Reject,Reject,False
PCm1oT8pZI,no_abstract,Reject,Reject,False
PCm1oT8pZI,no_introduction,Reject,Reject,False
PCm1oT8pZI,no_conclusion,Reject,Accept,True
PCm1oT8pZI,no_experiments,Reject,Reject,False
PCm1oT8pZI,no_methods,Reject,Reject,False
Q9R10ZKd8z,no_abstract,Reject,Reject,False
Q9R10ZKd8z,no_introduction,Reject,Reject,False
Q9R10ZKd8z,no_conclusion,Reject,Reject,False
Q9R10ZKd8z,no_experiments,Reject,Reject,False
Q9R10ZKd8z,no_methods,Reject,Reject,False
QGR5IeMNDF,no_abstract,Reject,Reject,False
QGR5IeMNDF,no_introduction,Reject,Reject,False
QGR5IeMNDF,no_conclusion,Reject,Reject,False
QGR5IeMNDF,no_experiments,Reject,Reject,False
QGR5IeMNDF,no_methods,Reject,Reject,False
QMkYEau02q,no_abstract,Accept,Reject,True
QMkYEau02q,no_introduction,Accept,Reject,True
QMkYEau02q,no_conclusion,Accept,Reject,True
QMkYEau02q,no_experiments,Accept,Reject,True
QMkYEau02q,no_methods,Accept,Reject,True
QO3yH7X8JJ,no_abstract,Reject,Reject,False
QO3yH7X8JJ,no_introduction,Reject,Reject,False
QO3yH7X8JJ,no_conclusion,Reject,Accept,True
QO3yH7X8JJ,no_experiments,Reject,Reject,False
QO3yH7X8JJ,no_methods,Reject,Reject,False
QcgvtqxRhI,no_abstract,Reject,Reject,False
QcgvtqxRhI,no_introduction,Reject,Reject,False
QcgvtqxRhI,no_conclusion,Reject,Reject,False
QcgvtqxRhI,no_experiments,Reject,Reject,False
QcgvtqxRhI,no_methods,Reject,Reject,False
Qox9rO0kN0,no_abstract,Reject,Reject,False
Qox9rO0kN0,no_introduction,Reject,Reject,False
Qox9rO0kN0,no_conclusion,Reject,Reject,False
Qox9rO0kN0,no_experiments,Reject,Reject,False
Qox9rO0kN0,no_methods,Reject,Reject,False
RN2lIjrtSR,no_abstract,Accept,Reject,True
RN2lIjrtSR,no_introduction,Accept,Reject,True
RN2lIjrtSR,no_conclusion,Accept,Reject,True
RN2lIjrtSR,no_experiments,Accept,Reject,True
RN2lIjrtSR,no_methods,Accept,Reject,True
RUKTunGWJe,no_abstract,Reject,Reject,False
RUKTunGWJe,no_introduction,Reject,Reject,False
RUKTunGWJe,no_conclusion,Reject,Reject,False
RUKTunGWJe,no_experiments,Reject,Reject,False
RUKTunGWJe,no_methods,Reject,Reject,False
RVaUSKSh9t,no_abstract,Reject,Reject,False
RVaUSKSh9t,no_introduction,Reject,Reject,False
RVaUSKSh9t,no_conclusion,Reject,Reject,False
RVaUSKSh9t,no_experiments,Reject,Reject,False
RVaUSKSh9t,no_methods,Reject,Reject,False
SXj1qjFEpQ,no_abstract,Reject,Reject,False
SXj1qjFEpQ,no_introduction,Reject,Reject,False
SXj1qjFEpQ,no_conclusion,Reject,Reject,False
SXj1qjFEpQ,no_experiments,Reject,Reject,False
SXj1qjFEpQ,no_methods,Reject,Reject,False
SqMVI1GFnp,no_abstract,Reject,Reject,False
SqMVI1GFnp,no_introduction,Reject,Reject,False
SqMVI1GFnp,no_conclusion,Reject,Reject,False
SqMVI1GFnp,no_experiments,Reject,Reject,False
SqMVI1GFnp,no_methods,Reject,Reject,False
TKDwsJmrDJ,no_abstract,Accept,Reject,True
TKDwsJmrDJ,no_introduction,Accept,Reject,True
TKDwsJmrDJ,no_conclusion,Accept,Reject,True
TKDwsJmrDJ,no_experiments,Accept,Reject,True
TKDwsJmrDJ,no_methods,Accept,Reject,True
TKnzPdyeJu,no_abstract,Reject,Reject,False
TKnzPdyeJu,no_introduction,Reject,Reject,False
TKnzPdyeJu,no_methods,Reject,Reject,False
TKnzPdyeJu,no_conclusion,Reject,Reject,False
TKnzPdyeJu,no_experiments,Reject,Reject,False
UbxWjq0UO2,no_abstract,Reject,Reject,False
UbxWjq0UO2,no_introduction,Reject,Reject,False
UbxWjq0UO2,no_conclusion,Reject,Accept,True
UbxWjq0UO2,no_experiments,Reject,Accept,True
UbxWjq0UO2,no_methods,Reject,Reject,False
WLgbjzKJkk,no_abstract,Reject,Accept,True
WLgbjzKJkk,no_introduction,Reject,Reject,False
WLgbjzKJkk,no_conclusion,Reject,Reject,False
WLgbjzKJkk,no_experiments,Reject,Reject,False
WLgbjzKJkk,no_methods,Reject,Reject,False
WNSjteBJd9,no_abstract,Reject,Reject,False
WNSjteBJd9,no_introduction,Reject,Reject,False
WNSjteBJd9,no_conclusion,Reject,Reject,False
WNSjteBJd9,no_experiments,Reject,Reject,False
WNSjteBJd9,no_methods,Reject,Reject,False
YhwDw31DGI,no_abstract,Reject,Accept,True
YhwDw31DGI,no_introduction,Reject,Reject,False
YhwDw31DGI,no_conclusion,Reject,Reject,False
YhwDw31DGI,no_experiments,Reject,Reject,False
YhwDw31DGI,no_methods,Reject,Reject,False
ZMjflI1aL0,no_abstract,Reject,Reject,False
ZMjflI1aL0,no_introduction,Reject,Reject,False
ZMjflI1aL0,no_conclusion,Reject,Reject,False
ZMjflI1aL0,no_experiments,Reject,Reject,False
ZMjflI1aL0,no_methods,Reject,Reject,False
b3kDP3IytM,no_abstract,Accept,Reject,True
b3kDP3IytM,no_introduction,Accept,Reject,True
b3kDP3IytM,no_conclusion,Accept,Reject,True
b3kDP3IytM,no_experiments,Accept,Reject,True
b3kDP3IytM,no_methods,Accept,Reject,True
bAXmvOLtjA,no_abstract,Reject,Accept,True
bAXmvOLtjA,no_introduction,Reject,Reject,False
bAXmvOLtjA,no_conclusion,Reject,Reject,False
bAXmvOLtjA,no_experiments,Reject,Reject,False
bAXmvOLtjA,no_methods,Reject,Reject,False
bCvm9h0FmQ,no_introduction,Reject,Reject,False
bCvm9h0FmQ,no_conclusion,Reject,Reject,False
bCvm9h0FmQ,no_experiments,Reject,Reject,False
bCvm9h0FmQ,no_methods,Reject,Reject,False
bCvm9h0FmQ,no_abstract,Reject,Reject,False
bO1UP57GAw,no_abstract,Reject,Reject,False
bO1UP57GAw,no_introduction,Reject,Reject,False
bO1UP57GAw,no_conclusion,Reject,Reject,False
bO1UP57GAw,no_experiments,Reject,Reject,False
bO1UP57GAw,no_methods,Reject,Reject,False
bRm0rul3SZ,no_abstract,Reject,Accept,True
bRm0rul3SZ,no_introduction,Reject,Reject,False
bRm0rul3SZ,no_conclusion,Reject,Reject,False
bRm0rul3SZ,no_experiments,Reject,Reject,False
bRm0rul3SZ,no_methods,Reject,Reject,False
bTMMNT7IdW,no_abstract,Reject,Reject,False
bTMMNT7IdW,no_introduction,Reject,Reject,False
bTMMNT7IdW,no_conclusion,Reject,Reject,False
bTMMNT7IdW,no_experiments,Reject,Reject,False
bTMMNT7IdW,no_methods,Reject,Reject,False
crF9dk4poo,no_abstract,Reject,Reject,False
crF9dk4poo,no_introduction,Reject,Reject,False
crF9dk4poo,no_conclusion,Reject,Reject,False
crF9dk4poo,no_experiments,Reject,Reject,False
crF9dk4poo,no_methods,Reject,Reject,False
dumkzmqTmS,no_abstract,Reject,Reject,False
dumkzmqTmS,no_introduction,Reject,Reject,False
dumkzmqTmS,no_conclusion,Reject,Reject,False
dumkzmqTmS,no_experiments,Reject,Reject,False
dumkzmqTmS,no_methods,Reject,Reject,False
eSr9iK1z8n,no_abstract,Reject,Reject,False
eSr9iK1z8n,no_conclusion,Reject,Reject,False
eSr9iK1z8n,no_experiments,Reject,Reject,False
eSr9iK1z8n,no_methods,Reject,Reject,False
eSr9iK1z8n,no_introduction,Reject,Reject,False
ecbRyZZmKG,no_abstract,Reject,Reject,False
ecbRyZZmKG,no_introduction,Reject,Reject,False
ecbRyZZmKG,no_conclusion,Reject,Reject,False
ecbRyZZmKG,no_experiments,Reject,Reject,False
ecbRyZZmKG,no_methods,Reject,Reject,False
f7t7AOseAa,no_abstract,Reject,Reject,False
f7t7AOseAa,no_introduction,Reject,Reject,False
f7t7AOseAa,no_conclusion,Reject,Reject,False
f7t7AOseAa,no_experiments,Reject,Reject,False
f7t7AOseAa,no_methods,Reject,Reject,False
fGXyvmWpw6,no_abstract,Reject,Reject,False
fGXyvmWpw6,no_introduction,Reject,Reject,False
fGXyvmWpw6,no_conclusion,Reject,Reject,False
fGXyvmWpw6,no_experiments,Reject,Accept,True
fGXyvmWpw6,no_methods,Reject,Reject,False
fIKRJeLH7W,no_abstract,Reject,Reject,False
fIKRJeLH7W,no_introduction,Reject,Reject,False
fIKRJeLH7W,no_conclusion,Reject,Reject,False
fIKRJeLH7W,no_experiments,Reject,Reject,False
fIKRJeLH7W,no_methods,Reject,Reject,False
fLWqIWPMDH,no_abstract,Reject,Reject,False
fLWqIWPMDH,no_introduction,Reject,Reject,False
fLWqIWPMDH,no_conclusion,Reject,Reject,False
fLWqIWPMDH,no_experiments,Reject,Reject,False
fLWqIWPMDH,no_methods,Reject,Reject,False
gJeYtRuguR,no_abstract,Reject,Reject,False
gJeYtRuguR,no_introduction,Reject,Reject,False
gJeYtRuguR,no_conclusion,Reject,Reject,False
gJeYtRuguR,no_experiments,Reject,Reject,False
gJeYtRuguR,no_methods,Reject,Reject,False
huwR9N2ea0,no_abstract,Reject,Reject,False
huwR9N2ea0,no_introduction,Reject,Accept,True
huwR9N2ea0,no_conclusion,Reject,Reject,False
huwR9N2ea0,no_experiments,Reject,Reject,False
huwR9N2ea0,no_methods,Reject,Accept,True
iNtEAeVQE0,no_abstract,Reject,Reject,False
iNtEAeVQE0,no_introduction,Reject,Reject,False
iNtEAeVQE0,no_conclusion,Reject,Reject,False
iNtEAeVQE0,no_methods,Reject,Reject,False
iNtEAeVQE0,no_experiments,Reject,Reject,False
lr69PmF2Ov,no_abstract,Accept,Accept,False
lr69PmF2Ov,no_introduction,Accept,Accept,False
lr69PmF2Ov,no_conclusion,Accept,Reject,True
lr69PmF2Ov,no_experiments,Accept,Reject,True
lr69PmF2Ov,no_methods,Accept,Reject,True
mHYkcQzdae,no_abstract,Reject,Reject,False
mHYkcQzdae,no_introduction,Reject,Reject,False
mHYkcQzdae,no_conclusion,Reject,Reject,False
mHYkcQzdae,no_experiments,Reject,Reject,False
mHYkcQzdae,no_methods,Reject,Reject,False
mWf3RGc6HG,no_abstract,Reject,Reject,False
mWf3RGc6HG,no_introduction,Reject,Reject,False
mWf3RGc6HG,no_conclusion,Reject,Reject,False
mWf3RGc6HG,no_experiments,Reject,Reject,False
mWf3RGc6HG,no_methods,Reject,Reject,False
n7Sr8SW4bn,no_abstract,Reject,Reject,False
n7Sr8SW4bn,no_introduction,Reject,Reject,False
n7Sr8SW4bn,no_conclusion,Reject,Reject,False
n7Sr8SW4bn,no_experiments,Reject,Reject,False
n7Sr8SW4bn,no_methods,Reject,Reject,False
pdJXYfJjz9,no_abstract,Accept,Accept,False
pdJXYfJjz9,no_introduction,Accept,Reject,True
pdJXYfJjz9,no_conclusion,Accept,Reject,True
pdJXYfJjz9,no_experiments,Accept,Reject,True
pdJXYfJjz9,no_methods,Accept,Reject,True
qoHeuRAcSl,no_abstract,Reject,Reject,False
qoHeuRAcSl,no_introduction,Reject,Reject,False
qoHeuRAcSl,no_conclusion,Reject,Accept,True
qoHeuRAcSl,no_experiments,Reject,Reject,False
qoHeuRAcSl,no_methods,Reject,Reject,False
rR03qFesqk,no_abstract,Accept,Reject,True
rR03qFesqk,no_introduction,Accept,Reject,True
rR03qFesqk,no_conclusion,Accept,Accept,False
rR03qFesqk,no_experiments,Accept,Reject,True
rR03qFesqk,no_methods,Accept,Reject,True
rnHqwPH4TZ,no_introduction,Reject,Reject,False
rnHqwPH4TZ,no_conclusion,Reject,Reject,False
rnHqwPH4TZ,no_experiments,Reject,Reject,False
rnHqwPH4TZ,no_methods,Reject,Reject,False
rnHqwPH4TZ,no_abstract,Reject,Reject,False
s1ByDEbpI8,no_abstract,Accept,Accept,False
s1ByDEbpI8,no_introduction,Accept,Reject,True
s1ByDEbpI8,no_conclusion,Accept,Reject,True
s1ByDEbpI8,no_experiments,Accept,Reject,True
s1ByDEbpI8,no_methods,Accept,Reject,True
s9bCeJGUJi,no_abstract,Reject,Reject,False
s9bCeJGUJi,no_introduction,Reject,Accept,True
s9bCeJGUJi,no_conclusion,Reject,Reject,False
s9bCeJGUJi,no_experiments,Reject,Reject,False
s9bCeJGUJi,no_methods,Reject,Reject,False
sP1tCl2QBk,no_abstract,Reject,Reject,False
sP1tCl2QBk,no_introduction,Reject,Reject,False
sP1tCl2QBk,no_conclusion,Reject,Reject,False
sP1tCl2QBk,no_experiments,Reject,Reject,False
sP1tCl2QBk,no_methods,Reject,Reject,False
t8cBsT9mcg,no_abstract,Reject,Reject,False
t8cBsT9mcg,no_introduction,Reject,Reject,False
t8cBsT9mcg,no_conclusion,Reject,Reject,False
t8cBsT9mcg,no_experiments,Reject,Reject,False
t8cBsT9mcg,no_methods,Reject,Reject,False
ug8wDSimNK,no_abstract,Reject,Reject,False
ug8wDSimNK,no_introduction,Reject,Reject,False
ug8wDSimNK,no_conclusion,Reject,Reject,False
ug8wDSimNK,no_experiments,Reject,Reject,False
ug8wDSimNK,no_methods,Reject,Reject,False
wDE3clrYWR,no_abstract,Reject,Reject,False
wDE3clrYWR,no_introduction,Reject,Reject,False
wDE3clrYWR,no_conclusion,Reject,Reject,False
wDE3clrYWR,no_experiments,Reject,Reject,False
wDE3clrYWR,no_methods,Reject,Accept,True
wRkfniZIBl,no_abstract,Reject,Reject,False
wRkfniZIBl,no_introduction,Reject,Reject,False
wRkfniZIBl,no_conclusion,Reject,Reject,False
wRkfniZIBl,no_experiments,Reject,Reject,False
wRkfniZIBl,no_methods,Reject,Reject,False
y8dHnNEcJu,no_abstract,Reject,Reject,False
y8dHnNEcJu,no_introduction,Reject,Reject,False
y8dHnNEcJu,no_conclusion,Reject,Reject,False
y8dHnNEcJu,no_experiments,Reject,Reject,False
y8dHnNEcJu,no_methods,Reject,Accept,True
yJdj2QQCUB,no_abstract,Reject,Reject,False
yJdj2QQCUB,no_introduction,Reject,Reject,False
yJdj2QQCUB,no_conclusion,Reject,Accept,True
yJdj2QQCUB,no_experiments,Reject,Reject,False
yJdj2QQCUB,no_methods,Reject,Reject,False
zIJFG7wW2d,no_abstract,Reject,Reject,False
zIJFG7wW2d,no_introduction,Reject,Reject,False
zIJFG7wW2d,no_conclusion,Reject,Reject,False
zIJFG7wW2d,no_experiments,Reject,Reject,False
zIJFG7wW2d,no_methods,Reject,Accept,True
zgHamUBuuO,no_abstract,Reject,Reject,False
zgHamUBuuO,no_introduction,Reject,Reject,False
zgHamUBuuO,no_conclusion,Reject,Reject,False
zgHamUBuuO,no_experiments,Reject,Reject,False
zgHamUBuuO,no_methods,Reject,Accept,True
zmJDzPh1Dm,no_abstract,Reject,Reject,False
zmJDzPh1Dm,no_introduction,Reject,Reject,False
zmJDzPh1Dm,no_conclusion,Reject,Reject,False
zmJDzPh1Dm,no_experiments,Reject,Reject,False
zmJDzPh1Dm,no_methods,Reject,Accept,True
