base_paper_id,variant_type,score_diff,score_cat,orig_decision,variant_decision,dec_cat,rating
07xuZw59uB,no_abstract,-0.5,down,Reject,Reject,re2re,4.5
07xuZw59uB,no_introduction,0.0,same,Reject,Reject,re2re,5.0
07xuZw59uB,no_conclusion,-1.0,down,Reject,Reject,re2re,4.0
07xuZw59uB,no_experiments,0.0,same,Reject,Reject,re2re,5.0
07xuZw59uB,no_methods,-0.5,down,Reject,Reject,re2re,4.5
1JbsdayvhO,no_abstract,0.25,up,Reject,Accept,re2ac,6.0
1JbsdayvhO,no_introduction,0.25,up,Reject,Accept,re2ac,6.0
1JbsdayvhO,no_conclusion,0.25,up,Reject,Accept,re2ac,6.0
1JbsdayvhO,no_experiments,-1.25,down,Reject,Reject,re2re,4.5
1JbsdayvhO,no_methods,-2.75,down,Reject,Reject,re2re,3.0
3rmpixOjPS,no_abstract,-0.5,down,Reject,Reject,re2re,4.5
3rmpixOjPS,no_introduction,0.0,same,Reject,Accept,re2ac,5.0
3rmpixOjPS,no_conclusion,0.0,same,Reject,Reject,re2re,5.0
3rmpixOjPS,no_experiments,0.0,same,Reject,Reject,re2re,5.0
3rmpixOjPS,no_methods,-1.5,down,Reject,Reject,re2re,3.5
468KWV14ll,no_abstract,0.75,up,Reject,Accept,re2ac,6.0
468KWV14ll,no_introduction,-0.75,down,Reject,Reject,re2re,4.5
468KWV14ll,no_conclusion,-0.25,down,Reject,Reject,re2re,5.0
468KWV14ll,no_experiments,-0.75,down,Reject,Reject,re2re,4.5
468KWV14ll,no_methods,-2.25,down,Reject,Reject,re2re,3.0
4JtwtT4nYC,no_abstract,1.5,up,Reject,Accept,re2ac,4.5
4JtwtT4nYC,no_introduction,1.5,up,Reject,Reject,re2re,4.5
4JtwtT4nYC,no_conclusion,1.75,up,Reject,Accept,re2ac,4.75
4JtwtT4nYC,no_experiments,0.0,same,Reject,Reject,re2re,3.0
4JtwtT4nYC,no_methods,1.5,up,Reject,Reject,re2re,4.5
4UP387Adir,no_abstract,1.0,up,Reject,Reject,re2re,4.5
4UP387Adir,no_introduction,1.0,up,Reject,Reject,re2re,4.5
4UP387Adir,no_conclusion,1.5,up,Reject,Reject,re2re,5.0
4UP387Adir,no_experiments,-0.5,down,Reject,Reject,re2re,3.0
4UP387Adir,no_methods,0.0,same,Reject,Reject,re2re,3.5
59nCKifDtm,no_abstract,0.0,same,Reject,Reject,re2re,4.5
59nCKifDtm,no_introduction,-0.25,down,Reject,Reject,re2re,4.25
59nCKifDtm,no_conclusion,1.5,up,Reject,Accept,re2ac,6.0
59nCKifDtm,no_experiments,-1.5,down,Reject,Reject,re2re,3.0
59nCKifDtm,no_methods,-1.5,down,Reject,Reject,re2re,3.0
5xadJmgwix,no_abstract,-0.5,down,Reject,Reject,re2re,4.5
5xadJmgwix,no_introduction,0.5,up,Reject,Reject,re2re,5.5
5xadJmgwix,no_conclusion,0.0,same,Reject,Reject,re2re,5.0
5xadJmgwix,no_experiments,-0.5,down,Reject,Reject,re2re,4.5
5xadJmgwix,no_methods,-0.5,down,Reject,Reject,re2re,4.5
760br3YEtY,no_abstract,2.25,up,Reject,Reject,re2re,5.25
760br3YEtY,no_introduction,1.5,up,Reject,Reject,re2re,4.5
760br3YEtY,no_conclusion,0.0,same,Reject,Reject,re2re,3.0
760br3YEtY,no_experiments,0.0,same,Reject,Reject,re2re,3.0
760br3YEtY,no_methods,1.0,up,Reject,Reject,re2re,4.0
7VVGO0kuuY,no_abstract,0.0,same,Reject,Reject,re2re,5.0
7VVGO0kuuY,no_introduction,1.0,up,Reject,Accept,re2ac,6.0
7VVGO0kuuY,no_conclusion,0.25,up,Reject,Reject,re2re,5.25
7VVGO0kuuY,no_experiments,-0.75,down,Reject,Reject,re2re,4.25
7VVGO0kuuY,no_methods,-0.5,down,Reject,Reject,re2re,4.5
7duh4Ml5rc,no_abstract,0.5,up,Reject,Reject,re2re,3.0
7duh4Ml5rc,no_introduction,0.0,same,Reject,Reject,re2re,2.5
7duh4Ml5rc,no_conclusion,1.5,up,Reject,Reject,re2re,4.0
7duh4Ml5rc,no_experiments,-1.5,down,Reject,Reject,re2re,1.0
7duh4Ml5rc,no_methods,0.5,up,Reject,Reject,re2re,3.0
9FXGX00iMF,no_abstract,0.5,up,Reject,Reject,re2re,5.0
9FXGX00iMF,no_introduction,0.5,up,Reject,Reject,re2re,5.0
9FXGX00iMF,no_conclusion,0.0,same,Reject,Reject,re2re,4.5
9FXGX00iMF,no_experiments,0.25,up,Reject,Reject,re2re,4.75
9FXGX00iMF,no_methods,0.75,up,Reject,Reject,re2re,5.25
9WD9KwssyT,no_abstract,1.25,up,Reject,Reject,re2re,5.25
9WD9KwssyT,no_introduction,1.0,up,Reject,Reject,re2re,5.0
9WD9KwssyT,no_conclusion,1.0,up,Reject,Reject,re2re,5.0
9WD9KwssyT,no_experiments,1.0,up,Reject,Reject,re2re,5.0
9WD9KwssyT,no_methods,1.0,up,Reject,Reject,re2re,5.0
9Wy6pLNQcG,no_abstract,-1.0,down,Reject,Reject,re2re,3.5
9Wy6pLNQcG,no_introduction,0.0,same,Reject,Reject,re2re,4.5
9Wy6pLNQcG,no_conclusion,0.5,up,Reject,Reject,re2re,5.0
9Wy6pLNQcG,no_experiments,0.0,same,Reject,Reject,re2re,4.5
9Wy6pLNQcG,no_methods,0.5,up,Reject,Reject,re2re,5.0
9g8h5HwZMy,no_abstract,0.0,same,Reject,Reject,re2re,5.0
9g8h5HwZMy,no_introduction,0.5,up,Reject,Reject,re2re,5.5
9g8h5HwZMy,no_conclusion,0.75,up,Reject,Reject,re2re,5.75
9g8h5HwZMy,no_experiments,-0.75,down,Reject,Reject,re2re,4.25
9g8h5HwZMy,no_methods,0.0,same,Reject,Reject,re2re,5.0
9w3iw8wDuE,no_abstract,1.0,up,Reject,Accept,re2ac,6.0
9w3iw8wDuE,no_introduction,-0.5,down,Reject,Accept,re2ac,4.5
9w3iw8wDuE,no_conclusion,0.75,up,Reject,Reject,re2re,5.75
9w3iw8wDuE,no_experiments,-0.5,down,Reject,Reject,re2re,4.5
9w3iw8wDuE,no_methods,0.0,same,Reject,Reject,re2re,5.0
BI1N3lTWtn,no_abstract,-0.5,down,Reject,Reject,re2re,4.5
BI1N3lTWtn,no_introduction,-1.0,down,Reject,Reject,re2re,4.0
BI1N3lTWtn,no_conclusion,-0.25,down,Reject,Reject,re2re,4.75
BI1N3lTWtn,no_experiments,-1.25,down,Reject,Reject,re2re,3.75
BI1N3lTWtn,no_methods,0.0,same,Reject,Reject,re2re,5.0
BkRD6GsswM,no_abstract,0.0,same,Reject,Reject,re2re,4.5
BkRD6GsswM,no_introduction,-1.5,down,Reject,Reject,re2re,3.0
BkRD6GsswM,no_conclusion,0.0,same,Reject,Reject,re2re,4.5
BkRD6GsswM,no_experiments,0.0,same,Reject,Reject,re2re,4.5
BkRD6GsswM,no_methods,-1.5,down,Reject,Reject,re2re,3.0
CIj1CVbkpr,no_abstract,-1.5,down,Reject,Reject,re2re,3.0
CIj1CVbkpr,no_introduction,-0.5,down,Reject,Reject,re2re,4.0
CIj1CVbkpr,no_conclusion,1.25,up,Reject,Reject,re2re,5.75
CIj1CVbkpr,no_experiments,0.0,same,Reject,Reject,re2re,4.5
CIj1CVbkpr,no_methods,0.0,same,Reject,Reject,re2re,4.5
Cc0qk6r4Nd,no_abstract,0.25,up,Reject,Accept,re2ac,6.0
Cc0qk6r4Nd,no_introduction,-2.25,down,Reject,Reject,re2re,3.5
Cc0qk6r4Nd,no_conclusion,-0.5,down,Reject,Reject,re2re,5.25
Cc0qk6r4Nd,no_experiments,-1.25,down,Reject,Reject,re2re,4.5
Cc0qk6r4Nd,no_methods,-1.5,down,Reject,Accept,re2ac,4.25
CpgoO6j6W1,no_abstract,0.0,same,Reject,Reject,re2re,5.0
CpgoO6j6W1,no_introduction,-2.0,down,Reject,Reject,re2re,3.0
CpgoO6j6W1,no_conclusion,0.0,same,Reject,Reject,re2re,5.0
CpgoO6j6W1,no_experiments,-0.5,down,Reject,Reject,re2re,4.5
CpgoO6j6W1,no_methods,0.0,same,Reject,Accept,re2ac,5.0
DwcV654WBP,no_abstract,0.5,up,Reject,Reject,re2re,5.5
DwcV654WBP,no_introduction,1.0,up,Reject,Accept,re2ac,6.0
DwcV654WBP,no_conclusion,0.75,up,Reject,Reject,re2re,5.75
DwcV654WBP,no_experiments,0.0,same,Reject,Reject,re2re,5.0
DwcV654WBP,no_methods,-1.0,down,Reject,Reject,re2re,4.0
E296x0YpML,no_abstract,-0.25,down,Reject,Reject,re2re,4.5
E296x0YpML,no_introduction,1.25,up,Reject,Reject,re2re,6.0
E296x0YpML,no_conclusion,-1.75,down,Reject,Reject,re2re,3.0
E296x0YpML,no_experiments,-0.75,down,Reject,Reject,re2re,4.0
E296x0YpML,no_methods,-0.25,down,Reject,Reject,re2re,4.5
FKg1N2fAFG,no_abstract,-0.5,down,Reject,Reject,re2re,4.5
FKg1N2fAFG,no_introduction,-0.5,down,Reject,Reject,re2re,4.5
FKg1N2fAFG,no_conclusion,1.0,up,Reject,Accept,re2ac,6.0
FKg1N2fAFG,no_experiments,-2.0,down,Reject,Accept,re2ac,3.0
FKg1N2fAFG,no_methods,-0.5,down,Reject,Reject,re2re,4.5
FRCHDhbxZF,no_abstract,0.75,up,Reject,Accept,re2ac,5.75
FRCHDhbxZF,no_introduction,0.25,up,Reject,Reject,re2re,5.25
FRCHDhbxZF,no_conclusion,-0.5,down,Reject,Reject,re2re,4.5
FRCHDhbxZF,no_experiments,0.0,same,Reject,Accept,re2ac,5.0
FRCHDhbxZF,no_methods,1.0,up,Reject,Accept,re2ac,6.0
FbuyDzZTPt,no_abstract,1.5,up,Accept,Reject,ac2re,5.0
FbuyDzZTPt,no_introduction,1.5,up,Accept,Reject,ac2re,5.0
FbuyDzZTPt,no_conclusion,-0.5,down,Accept,Reject,ac2re,3.0
FbuyDzZTPt,no_experiments,-0.5,down,Accept,Reject,ac2re,3.0
FbuyDzZTPt,no_methods,0.0,same,Accept,Accept,ac2ac,3.5
G3LOFL4jGp,no_abstract,0.0,same,Reject,Reject,re2re,5.0
G3LOFL4jGp,no_introduction,-0.5,down,Reject,Reject,re2re,4.5
G3LOFL4jGp,no_experiments,0.0,same,Reject,Reject,re2re,5.0
G3LOFL4jGp,no_methods,-0.5,down,Reject,Reject,re2re,4.5
G3LOFL4jGp,no_conclusion,-0.5,down,Reject,Reject,re2re,4.5
GSBHKiw19c,no_abstract,-0.75,down,Accept,Reject,ac2re,5.25
GSBHKiw19c,no_introduction,-1.5,down,Accept,Reject,ac2re,4.5
GSBHKiw19c,no_experiments,-0.75,down,Accept,Accept,ac2ac,5.25
GSBHKiw19c,no_methods,-1.0,down,Accept,Reject,ac2re,5.0
GSBHKiw19c,no_conclusion,0.0,same,Accept,Accept,ac2ac,6.0
Gg7cXo3S8l,no_abstract,0.5,up,Accept,Reject,ac2re,5.5
Gg7cXo3S8l,no_introduction,-2.0,down,Accept,Reject,ac2re,3.0
Gg7cXo3S8l,no_conclusion,0.0,same,Accept,Reject,ac2re,5.0
Gg7cXo3S8l,no_experiments,-0.25,down,Accept,Reject,ac2re,4.75
Gg7cXo3S8l,no_methods,0.0,same,Accept,Reject,ac2re,5.0
Gk75gOjtQh,no_abstract,-2.0,down,Reject,Reject,re2re,3.0
Gk75gOjtQh,no_introduction,-0.5,down,Reject,Reject,re2re,4.5
Gk75gOjtQh,no_conclusion,-2.0,down,Reject,Reject,re2re,3.0
Gk75gOjtQh,no_experiments,0.0,same,Reject,Reject,re2re,5.0
Gk75gOjtQh,no_methods,0.25,up,Reject,Reject,re2re,5.25
HCCkCjClO0,no_abstract,1.5,up,Reject,Reject,re2re,4.5
HCCkCjClO0,no_introduction,0.0,same,Reject,Reject,re2re,3.0
HCCkCjClO0,no_conclusion,0.5,up,Reject,Reject,re2re,3.5
HCCkCjClO0,no_experiments,1.5,up,Reject,Reject,re2re,4.5
HCCkCjClO0,no_methods,0.0,same,Reject,Reject,re2re,3.0
HKGQDDTuvZ,no_abstract,-0.5,down,Reject,Reject,re2re,4.5
HKGQDDTuvZ,no_introduction,-0.5,down,Reject,Accept,re2ac,4.5
HKGQDDTuvZ,no_conclusion,-0.25,down,Reject,Reject,re2re,4.75
HKGQDDTuvZ,no_experiments,-1.0,down,Reject,Reject,re2re,4.0
HKGQDDTuvZ,no_methods,-0.5,down,Reject,Reject,re2re,4.5
Hk7yW3vmSq,no_abstract,-0.25,down,Reject,Accept,re2ac,4.25
Hk7yW3vmSq,no_introduction,0.5,up,Reject,Reject,re2re,5.0
Hk7yW3vmSq,no_conclusion,1.25,up,Reject,Reject,re2re,5.75
Hk7yW3vmSq,no_experiments,1.0,up,Reject,Reject,re2re,5.5
Hk7yW3vmSq,no_methods,-1.5,down,Reject,Reject,re2re,3.0
JlSyXwCEIQ,no_abstract,-1.0,down,Reject,Reject,re2re,3.5
JlSyXwCEIQ,no_introduction,0.0,same,Reject,Reject,re2re,4.5
JlSyXwCEIQ,no_conclusion,0.5,up,Reject,Reject,re2re,5.0
JlSyXwCEIQ,no_experiments,-0.5,down,Reject,Reject,re2re,4.0
JlSyXwCEIQ,no_methods,1.5,up,Reject,Accept,re2ac,6.0
KksPo0zXId,no_abstract,0.0,same,Reject,Reject,re2re,3.5
KksPo0zXId,no_introduction,1.5,up,Reject,Accept,re2ac,5.0
KksPo0zXId,no_conclusion,2.25,up,Reject,Reject,re2re,5.75
KksPo0zXId,no_experiments,1.0,up,Reject,Accept,re2ac,4.5
KksPo0zXId,no_methods,1.0,up,Reject,Reject,re2re,4.5
Koh0i2u8qX,no_abstract,-0.25,down,Reject,Reject,re2re,5.0
Koh0i2u8qX,no_conclusion,-0.25,down,Reject,Reject,re2re,5.0
Koh0i2u8qX,no_experiments,-2.25,down,Reject,Reject,re2re,3.0
Koh0i2u8qX,no_methods,-2.25,down,Reject,Reject,re2re,3.0
Koh0i2u8qX,no_introduction,-1.75,down,Reject,Reject,re2re,3.5
KzMMv0OygD,no_abstract,1.0,up,Reject,Accept,re2ac,6.0
KzMMv0OygD,no_introduction,-1.0,down,Reject,Reject,re2re,4.0
KzMMv0OygD,no_conclusion,-0.5,down,Reject,Reject,re2re,4.5
KzMMv0OygD,no_experiments,0.0,same,Reject,Reject,re2re,5.0
KzMMv0OygD,no_methods,-2.0,down,Reject,Reject,re2re,3.0
L6crLU7MIE,no_abstract,-0.25,down,Reject,Reject,re2re,4.5
L6crLU7MIE,no_introduction,0.25,up,Reject,Reject,re2re,5.0
L6crLU7MIE,no_conclusion,0.5,up,Reject,Reject,re2re,5.25
L6crLU7MIE,no_experiments,0.25,up,Reject,Reject,re2re,5.0
L6crLU7MIE,no_methods,-0.25,down,Reject,Reject,re2re,4.5
LWwYyxF3w9,no_introduction,-0.5,down,Reject,Reject,re2re,3.0
LWwYyxF3w9,no_conclusion,1.0,up,Reject,Reject,re2re,4.5
LWwYyxF3w9,no_experiments,0.0,same,Reject,Reject,re2re,3.5
LWwYyxF3w9,no_methods,-0.5,down,Reject,Reject,re2re,3.0
LWwYyxF3w9,no_abstract,1.0,up,Reject,Reject,re2re,4.5
M8J0b9gNfG,no_abstract,-1.0,down,Reject,Reject,re2re,3.5
M8J0b9gNfG,no_introduction,1.5,up,Reject,Accept,re2ac,6.0
M8J0b9gNfG,no_conclusion,0.5,up,Reject,Reject,re2re,5.0
M8J0b9gNfG,no_experiments,0.0,same,Reject,Reject,re2re,4.5
M8J0b9gNfG,no_methods,0.5,up,Reject,Reject,re2re,5.0
Mqukp3Lsnt,no_abstract,-1.5,down,Reject,Reject,re2re,3.0
Mqukp3Lsnt,no_introduction,-1.5,down,Reject,Reject,re2re,3.0
Mqukp3Lsnt,no_conclusion,0.0,same,Reject,Reject,re2re,4.5
Mqukp3Lsnt,no_experiments,-1.5,down,Reject,Reject,re2re,3.0
Mqukp3Lsnt,no_methods,-1.0,down,Reject,Reject,re2re,3.5
N0isTh3rml,no_introduction,-0.5,down,Reject,Reject,re2re,4.0
N0isTh3rml,no_conclusion,1.0,up,Reject,Reject,re2re,5.5
N0isTh3rml,no_experiments,0.5,up,Reject,Reject,re2re,5.0
N0isTh3rml,no_methods,-1.5,down,Reject,Reject,re2re,3.0
N0isTh3rml,no_abstract,-0.5,down,Reject,Reject,re2re,4.0
NSVtmmzeRB,no_abstract,1.0,up,Reject,Reject,re2re,6.0
NSVtmmzeRB,no_introduction,0.0,same,Reject,Reject,re2re,5.0
NSVtmmzeRB,no_conclusion,0.0,same,Reject,Reject,re2re,5.0
NSVtmmzeRB,no_experiments,1.0,up,Reject,Accept,re2ac,6.0
NSVtmmzeRB,no_methods,1.0,up,Reject,Accept,re2ac,6.0
OJoMzslBIa,no_abstract,0.5,up,Reject,Reject,re2re,5.0
OJoMzslBIa,no_introduction,-1.5,down,Reject,Reject,re2re,3.0
OJoMzslBIa,no_conclusion,-1.0,down,Reject,Reject,re2re,3.5
OJoMzslBIa,no_experiments,0.0,same,Reject,Reject,re2re,4.5
OJoMzslBIa,no_methods,-1.5,down,Reject,Reject,re2re,3.0
PCm1oT8pZI,no_abstract,2.0,up,Reject,Reject,re2re,5.0
PCm1oT8pZI,no_introduction,1.5,up,Reject,Reject,re2re,4.5
PCm1oT8pZI,no_conclusion,2.5,up,Reject,Accept,re2ac,5.5
PCm1oT8pZI,no_experiments,1.5,up,Reject,Reject,re2re,4.5
PCm1oT8pZI,no_methods,1.5,up,Reject,Reject,re2re,4.5
Q9R10ZKd8z,no_abstract,0.0,same,Reject,Reject,re2re,5.0
Q9R10ZKd8z,no_introduction,0.25,up,Reject,Reject,re2re,5.25
Q9R10ZKd8z,no_conclusion,0.0,same,Reject,Reject,re2re,5.0
Q9R10ZKd8z,no_experiments,-0.5,down,Reject,Reject,re2re,4.5
Q9R10ZKd8z,no_methods,-2.0,down,Reject,Reject,re2re,3.0
QGR5IeMNDF,no_abstract,-1.0,down,Reject,Reject,re2re,3.5
QGR5IeMNDF,no_introduction,-0.75,down,Reject,Reject,re2re,3.75
QGR5IeMNDF,no_conclusion,-1.0,down,Reject,Reject,re2re,3.5
QGR5IeMNDF,no_experiments,0.0,same,Reject,Reject,re2re,4.5
QGR5IeMNDF,no_methods,-0.5,down,Reject,Reject,re2re,4.0
QMkYEau02q,no_abstract,-2.0,down,Accept,Reject,ac2re,4.5
QMkYEau02q,no_introduction,-2.5,down,Accept,Reject,ac2re,4.0
QMkYEau02q,no_conclusion,-3.5,down,Accept,Reject,ac2re,3.0
QMkYEau02q,no_experiments,-3.5,down,Accept,Reject,ac2re,3.0
QMkYEau02q,no_methods,-2.0,down,Accept,Reject,ac2re,4.5
QO3yH7X8JJ,no_abstract,-1.5,down,Reject,Reject,re2re,4.0
QO3yH7X8JJ,no_introduction,-0.5,down,Reject,Reject,re2re,5.0
QO3yH7X8JJ,no_conclusion,0.5,up,Reject,Accept,re2ac,6.0
QO3yH7X8JJ,no_experiments,-2.0,down,Reject,Reject,re2re,3.5
QO3yH7X8JJ,no_methods,-1.0,down,Reject,Reject,re2re,4.5
QcgvtqxRhI,no_abstract,2.0,up,Reject,Reject,re2re,5.5
QcgvtqxRhI,no_introduction,1.5,up,Reject,Reject,re2re,5.0
QcgvtqxRhI,no_conclusion,1.5,up,Reject,Reject,re2re,5.0
QcgvtqxRhI,no_experiments,0.0,same,Reject,Reject,re2re,3.5
